id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
5,COAHUILA DE ZARAGOZA,23,OCAMPO,0.0,0.0,0,0.0,1.0,0.0,27.97035913,-102.8932024
5,COAHUILA DE ZARAGOZA,24,PARRAS,0.0,0.0,0,0.0,3.0,1.0,25.5052347,-102.1148594
5,COAHUILA DE ZARAGOZA,25,PIEDRAS NEGRAS,14.0,0.0,0,14.0,59.0,144.0,28.77991609,-100.61450570000001
5,COAHUILA DE ZARAGOZA,27,RAMOS ARIZPE,4.0,0.0,0,4.0,23.0,15.0,25.91436164,-101.2823599
5,COAHUILA DE ZARAGOZA,28,SABINAS,1.0,0.0,0,1.0,3.0,20.0,27.92330081,-101.14303129999999
5,COAHUILA DE ZARAGOZA,29,SACRAMENTO,2.0,1.0,0,1.0,1.0,9.0,26.93986293,-101.75649820000001
5,COAHUILA DE ZARAGOZA,30,SALTILLO,26.0,1.0,0,25.0,250.0,253.0,25.02983185,-101.12515479999999
5,COAHUILA DE ZARAGOZA,31,SAN BUENAVENTURA,2.0,0.0,0,2.0,5.0,10.0,27.84237258,-101.9697965
5,COAHUILA DE ZARAGOZA,32,SAN JUAN DE SABINAS,2.0,0.0,0,2.0,11.0,20.0,28.0640757,-101.3898142
5,COAHUILA DE ZARAGOZA,33,SAN PEDRO,1.0,0.0,0,1.0,21.0,27.0,26.08478116,-102.7178723
5,COAHUILA DE ZARAGOZA,35,TORREÓN,23.0,1.0,0,22.0,173.0,225.0,25.17079523,-103.2491336
5,COAHUILA DE ZARAGOZA,36,VIESCA,0.0,0.0,0,0.0,1.0,2.0,25.22230528,-102.92505190000001
5,COAHUILA DE ZARAGOZA,37,VILLA UNIÓN,0.0,0.0,0,0.0,0.0,4.0,28.09764068,-100.7803007
5,COAHUILA DE ZARAGOZA,38,ZARAGOZA,0.0,0.0,0,0.0,0.0,4.0,28.81279567,-101.3953675
6,COLIMA,1,AGUASCALIENTES,0.0,0.0,0,0.0,2.0,5.0,19.00929185,-103.9984171
6,COLIMA,2,ASIENTOS,2.0,0.0,0,2.0,3.0,29.0,19.11617032,-103.63269100000001
6,COLIMA,3,CALVILLO,0.0,0.0,0,0.0,1.0,4.0,19.39346607,-103.7699857
6,COLIMA,5,JESÚS MARÍA,1.0,0.0,0,1.0,3.0,2.0,19.326886,-103.59550290000001
6,COLIMA,7,RINCÓN DE ROMOS,6.0,2.0,0,4.0,2.0,21.0,19.14956207,-104.3027337
6,COLIMA,9,TEPEZALÁ,0.0,0.0,0,0.0,6.0,24.0,18.86295448,-105.03912140000001
6,COLIMA,10,EL LLANO,2.0,0.0,0,2.0,4.0,18.0,19.30961705,-103.8444285
7,CHIAPAS,1,AGUASCALIENTES,0.0,0.0,0,0.0,0.0,1.0,15.4141544,-92.68168153
7,CHIAPAS,5,JESÚS MARÍA,0.0,0.0,0,0.0,1.0,1.0,17.38562152,-92.85734448
7,CHIAPAS,8,SAN JOSÉ DE GRACIA,0.0,0.0,0,0.0,0.0,1.0,15.75818655,-92.68045625
7,CHIAPAS,9,TEPEZALÁ,1.0,0.0,0,1.0,0.0,3.0,16.24892811,-93.93735615
7,CHIAPAS,12,GUERRERO,0.0,0.0,0,0.0,0.0,3.0,16.86665416,-93.31908417
7,CHIAPAS,14,JIMÉNEZ,0.0,0.0,0,0.0,0.0,1.0,17.03175666,-92.74128950000001
7,CHIAPAS,15,JUÁREZ,0.0,0.0,0,0.0,2.0,2.0,15.08625951,-92.16413312
7,CHIAPAS,16,LAMADRID,0.0,0.0,0,0.0,0.0,3.0,17.7799182,-91.99758786
7,CHIAPAS,17,MATAMOROS,0.0,0.0,0,0.0,0.0,8.0,16.71318599,-93.86742302
7,CHIAPAS,18,MONCLOVA,0.0,0.0,0,0.0,1.0,0.0,17.12058481,-93.12608211
7,CHIAPAS,19,MORELOS,3.0,0.0,0,3.0,1.0,5.0,16.29700906,-92.17899793
7,CHIAPAS,20,MÚZQUIZ,0.0,0.0,0,0.0,0.0,2.0,15.96101601,-92.77120522
7,CHIAPAS,21,NADADORES,0.0,0.0,0,0.0,1.0,0.0,17.09419804,-93.25285944
7,CHIAPAS,23,OCAMPO,0.0,0.0,0,0.0,0.0,1.0,16.81937471,-92.68017344
7,CHIAPAS,27,RAMOS ARIZPE,3.0,0.0,0,3.0,1.0,12.0,16.59825528,-92.97065322
7,CHIAPAS,28,SABINAS,0.0,0.0,0,0.0,1.0,0.0,16.55397549,-92.72594357
7,CHIAPAS,29,SACRAMENTO,0.0,0.0,0,0.0,1.0,0.0,16.99533901,-93.11152052
7,CHIAPAS,30,SALTILLO,1.0,0.0,0,1.0,0.0,0.0,15.79906947,-92.39128584
7,CHIAPAS,31,SAN BUENAVENTURA,0.0,0.0,0,0.0,0.0,1.0,17.10973583,-92.03511982
7,CHIAPAS,34,SIERRA MOJADA,1.0,0.0,0,1.0,0.0,1.0,15.76268694,-92.08776975
7,CHIAPAS,35,TORREÓN,0.0,0.0,0,0.0,0.0,1.0,14.75001392,-92.21319809999999
7,CHIAPAS,37,VILLA UNIÓN,0.0,0.0,0,0.0,0.0,1.0,15.00941361,-92.42376998
7,CHIAPAS,40,HUIXTLA,1.0,0.0,0,1.0,1.0,1.0,15.09703661,-92.54683220000001
