,confirmado,negativo,sospechoso,muerto,recuperado,activo,estado,municipio,id_estado,id_municipio,entidad_qa,municipio_qa,id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
"(13, 77)",7,29,2,0,0,7,HIDALGO,TULANCINGO DE BRAVO,13,77,V,V,13,HIDALGO,77,TULANCINGO DE BRAVO,7,0,0,7,2,29,20.12361505,-98.35093262
"(13, 80)",0,1,0,0,0,0,HIDALGO,YAHUALICA,13,80,V,V,13,HIDALGO,80,YAHUALICA,0,0,0,0,0,1,20.91626222,-98.38351809
"(13, 81)",0,4,2,0,0,0,HIDALGO,ZACUALTIPÁN DE ÁNGELES,13,81,V,V,13,HIDALGO,81,ZACUALTIPÁN DE ÁNGELES,0,0,0,0,2,4,20.65076184,-98.58671898
"(13, 82)",0,1,1,0,0,0,HIDALGO,ZAPOTLÁN DE JUÁREZ,13,82,V,V,13,HIDALGO,82,ZAPOTLÁN DE JUÁREZ,0,0,0,0,1,1,19.98941681,-98.85891705
"(13, 83)",2,12,0,0,0,2,HIDALGO,ZEMPOALA,13,83,V,V,13,HIDALGO,83,ZEMPOALA,2,0,0,2,0,12,19.92314933,-98.67234243
"(13, 84)",1,3,0,0,0,1,HIDALGO,ZIMAPÁN,13,84,V,V,13,HIDALGO,84,ZIMAPÁN,1,0,0,1,0,3,20.75295429,-99.36571594
"(14, 1)",2,19,2,1,0,1,JALISCO,ACATIC,14,1,V,V,14,JALISCO,1,ACATIC,2,1,0,1,2,19,20.77007275,-102.9091558
"(14, 2)",0,8,0,0,0,0,JALISCO,ACATLÁN DE JUÁREZ,14,2,V,V,14,JALISCO,2,ACATLÁN DE JUÁREZ,0,0,0,0,0,8,20.4285089,-103.608852
"(14, 3)",0,2,2,0,0,0,JALISCO,AHUALULCO DE MERCADO,14,3,V,V,14,JALISCO,3,AHUALULCO DE MERCADO,0,0,0,0,2,2,20.71149033,-103.9353478
"(14, 4)",0,1,0,0,0,0,JALISCO,AMACUECA,14,4,V,V,14,JALISCO,4,AMACUECA,0,0,0,0,0,1,19.99995821,-103.6225816
"(14, 5)",0,3,6,0,0,0,JALISCO,AMATITÁN,14,5,V,V,14,JALISCO,5,AMATITÁN,0,0,0,0,6,3,20.85000373,-103.7172495
"(14, 6)",2,3,0,0,0,2,JALISCO,AMECA,14,6,V,V,14,JALISCO,6,AMECA,2,0,0,2,0,3,20.54170803,-104.0805487
"(14, 7)",0,0,2,0,0,0,JALISCO,SAN JUANITO DE ESCOBEDO,14,7,V,V,14,JALISCO,7,SAN JUANITO DE ESCOBEDO,0,0,0,0,2,0,20.80912316,-104.006784
"(14, 8)",0,5,0,0,0,0,JALISCO,ARANDAS,14,8,V,V,14,JALISCO,8,ARANDAS,0,0,0,0,0,5,20.76652666,-102.3006357
"(14, 9)",0,4,4,0,0,0,JALISCO,EL ARENAL,14,9,V,V,14,JALISCO,9,EL ARENAL,0,0,0,0,4,4,20.75498055,-103.6790152
"(14, 11)",0,5,0,0,0,0,JALISCO,ATENGO,14,11,V,V,14,JALISCO,11,ATENGO,0,0,0,0,0,5,20.31810273,-104.2739231
"(14, 12)",0,1,0,0,0,0,JALISCO,ATENGUILLO,14,12,V,V,14,JALISCO,12,ATENGUILLO,0,0,0,0,0,1,20.33679752,-104.5506573
"(14, 13)",0,9,0,0,0,0,JALISCO,ATOTONILCO EL ALTO,14,13,V,V,14,JALISCO,13,ATOTONILCO EL ALTO,0,0,0,0,0,9,20.54760015,-102.5396104
"(14, 14)",0,1,0,0,0,0,JALISCO,ATOYAC,14,14,V,V,14,JALISCO,14,ATOYAC,0,0,0,0,0,1,19.99646756,-103.4704687
"(14, 15)",0,52,0,0,0,0,JALISCO,AUTLÁN DE NAVARRO,14,15,V,V,14,JALISCO,15,AUTLÁN DE NAVARRO,0,0,0,0,0,52,19.74352768,-104.3121769
"(14, 16)",0,3,0,0,0,0,JALISCO,AYOTLÁN,14,16,V,V,14,JALISCO,16,AYOTLÁN,0,0,0,0,0,3,20.48886506,-102.3429278
"(14, 17)",0,7,0,0,0,0,JALISCO,AYUTLA,14,17,V,V,14,JALISCO,17,AYUTLA,0,0,0,0,0,7,20.05032971,-104.4348004
"(14, 18)",1,15,8,0,0,1,JALISCO,LA BARCA,14,18,V,V,14,JALISCO,18,LA BARCA,1,0,0,1,8,15,20.36384492,-102.5232946
"(14, 19)",0,1,0,0,0,0,JALISCO,BOLAÑOS,14,19,V,V,14,JALISCO,19,BOLAÑOS,0,0,0,0,0,1,21.87468302,-103.9204643
"(14, 20)",0,1,0,0,0,0,JALISCO,CABO CORRIENTES,14,20,V,V,14,JALISCO,20,CABO CORRIENTES,0,0,0,0,0,1,20.34247524,-105.4065834
"(14, 21)",0,3,0,0,0,0,JALISCO,CASIMIRO CASTILLO,14,21,V,V,14,JALISCO,21,CASIMIRO CASTILLO,0,0,0,0,0,3,19.60299418,-104.470155
"(14, 22)",0,21,0,0,0,0,JALISCO,CIHUATLÁN,14,22,V,V,14,JALISCO,22,CIHUATLÁN,0,0,0,0,0,21,19.27739656,-104.6149447
"(14, 23)",0,38,4,0,0,0,JALISCO,ZAPOTLÁN EL GRANDE,14,23,V,V,14,JALISCO,23,ZAPOTLÁN EL GRANDE,0,0,0,0,4,38,19.71078933,-103.510337
"(14, 24)",1,13,0,0,0,1,JALISCO,COCULA,14,24,V,V,14,JALISCO,24,COCULA,1,0,0,1,0,13,20.39039757,-103.824456
"(14, 25)",0,1,2,0,0,0,JALISCO,COLOTLÁN,14,25,V,V,14,JALISCO,25,COLOTLÁN,0,0,0,0,2,1,22.09175994,-103.2872157
"(14, 26)",0,2,0,0,0,0,JALISCO,CONCEPCIÓN DE BUENOS AIRES,14,26,V,V,14,JALISCO,26,CONCEPCIÓN DE BUENOS AIRES,0,0,0,0,0,2,19.98243576,-103.2364283
"(14, 27)",0,6,0,0,0,0,JALISCO,CUAUTITLÁN DE GARCÍA BARRAGÁN,14,27,V,V,14,JALISCO,27,CUAUTITLÁN DE GARCÍA BARRAGÁN,0,0,0,0,0,6,19.435694,-104.3110295
"(14, 28)",10,23,0,0,0,10,JALISCO,CUAUTLA,14,28,V,V,14,JALISCO,28,CUAUTLA,10,0,0,10,0,23,20.19301461,-104.5098491
"(14, 29)",0,6,1,0,0,0,JALISCO,CUQUÍO,14,29,V,V,14,JALISCO,29,CUQUÍO,0,0,0,0,1,6,20.95245924,-103.0287172
"(14, 30)",0,11,1,0,0,0,JALISCO,CHAPALA,14,30,V,V,14,JALISCO,30,CHAPALA,0,0,0,0,1,11,20.25988503,-103.1879093
"(14, 32)",0,1,0,0,0,0,JALISCO,CHIQUILISTLÁN,14,32,V,V,14,JALISCO,32,CHIQUILISTLÁN,0,0,0,0,0,1,20.08230906,-103.8801768
"(14, 33)",0,2,0,0,0,0,JALISCO,DEGOLLADO,14,33,V,V,14,JALISCO,33,DEGOLLADO,0,0,0,0,0,2,20.44791467,-102.1677785
"(14, 35)",0,4,1,0,0,0,JALISCO,ENCARNACIÓN DE DÍAZ,14,35,V,V,14,JALISCO,35,ENCARNACIÓN DE DÍAZ,0,0,0,0,1,4,21.55579093,-102.191447
"(14, 36)",0,3,3,0,0,0,JALISCO,ETZATLÁN,14,36,V,V,14,JALISCO,36,ETZATLÁN,0,0,0,0,3,3,20.74364412,-104.1237635
"(14, 37)",3,22,0,1,0,2,JALISCO,EL GRULLO,14,37,V,V,14,JALISCO,37,EL GRULLO,3,1,0,2,0,22,19.80107992,-104.1951371
"(14, 39)",74,1005,107,4,0,70,JALISCO,GUADALAJARA,14,39,V,V,14,JALISCO,39,GUADALAJARA,74,4,0,70,107,1005,20.67598127,-103.3358048
"(14, 40)",0,1,1,0,0,0,JALISCO,HOSTOTIPAQUILLO,14,40,V,V,14,JALISCO,40,HOSTOTIPAQUILLO,0,0,0,0,1,1,21.05750398,-104.0754161
"(14, 41)",0,0,1,0,0,0,JALISCO,HUEJÚCAR,14,41,V,V,14,JALISCO,41,HUEJÚCAR,0,0,0,0,1,0,22.31857632,-103.2339993
"(14, 42)",0,1,0,0,0,0,JALISCO,HUEJUQUILLA EL ALTO,14,42,V,V,14,JALISCO,42,HUEJUQUILLA EL ALTO,0,0,0,0,0,1,22.58385278,-103.9162005
"(14, 43)",0,10,0,0,0,0,JALISCO,LA HUERTA,14,43,V,V,14,JALISCO,43,LA HUERTA,0,0,0,0,0,10,19.51484125,-104.8631518
"(14, 44)",0,3,0,0,0,0,JALISCO,IXTLAHUACÁN DE LOS MEMBRILLOS,14,44,V,V,14,JALISCO,44,IXTLAHUACÁN DE LOS MEMBRILLOS,0,0,0,0,0,3,20.39175494,-103.2075436
"(14, 45)",0,9,0,0,0,0,JALISCO,IXTLAHUACÁN DEL RÍO,14,45,V,V,14,JALISCO,45,IXTLAHUACÁN DEL RÍO,0,0,0,0,0,9,20.89865351,-103.2278195
"(14, 46)",0,3,0,0,0,0,JALISCO,JALOSTOTITLÁN,14,46,V,V,14,JALISCO,46,JALOSTOTITLÁN,0,0,0,0,0,3,21.19170977,-102.4893491
"(14, 47)",4,4,6,0,0,4,JALISCO,JAMAY,14,47,V,V,14,JALISCO,47,JAMAY,4,0,0,4,6,4,20.28014492,-102.6856746
"(14, 48)",1,1,5,0,0,1,JALISCO,JESÚS MARÍA,14,48,V,V,14,JALISCO,48,JESÚS MARÍA,1,0,0,1,5,1,20.63550724,-102.1198645
"(14, 50)",0,17,2,0,0,0,JALISCO,JOCOTEPEC,14,50,V,V,14,JALISCO,50,JOCOTEPEC,0,0,0,0,2,17,20.31454069,-103.4171846
"(14, 51)",1,6,2,0,0,1,JALISCO,JUANACATLÁN,14,51,V,V,14,JALISCO,51,JUANACATLÁN,1,0,0,1,2,6,20.48173379,-103.1352132
"(14, 52)",0,1,0,0,0,0,JALISCO,JUCHITLÁN,14,52,V,V,14,JALISCO,52,JUCHITLÁN,0,0,0,0,0,1,20.05426111,-104.0366577
"(14, 53)",1,46,0,0,0,1,JALISCO,LAGOS DE MORENO,14,53,V,V,14,JALISCO,53,LAGOS DE MORENO,1,0,0,1,0,46,21.49430423,-101.8796641
"(14, 54)",0,4,0,0,0,0,JALISCO,EL LIMÓN,14,54,V,V,14,JALISCO,54,EL LIMÓN,0,0,0,0,0,4,19.84080401,-104.1003161
"(14, 55)",0,5,4,0,0,0,JALISCO,MAGDALENA,14,55,V,V,14,JALISCO,55,MAGDALENA,0,0,0,0,4,5,20.90826706,-104.0307804
"(14, 58)",0,1,0,0,0,0,JALISCO,MASCOTA,14,58,V,V,14,JALISCO,58,MASCOTA,0,0,0,0,0,1,20.57907747,-104.8140704
"(14, 59)",0,2,0,0,0,0,JALISCO,MAZAMITLA,14,59,V,V,14,JALISCO,59,MAZAMITLA,0,0,0,0,0,2,19.89425794,-103.0725374
"(14, 60)",0,2,0,0,0,0,JALISCO,MEXTICACÁN,14,60,V,V,14,JALISCO,60,MEXTICACÁN,0,0,0,0,0,2,21.26387264,-102.7535316
"(14, 61)",0,1,0,0,0,0,JALISCO,MEZQUITIC,14,61,V,V,14,JALISCO,61,MEZQUITIC,0,0,0,0,0,1,22.22271235,-103.9943218
"(14, 63)",6,37,10,0,0,6,JALISCO,OCOTLÁN,14,63,V,V,14,JALISCO,63,OCOTLÁN,6,0,0,6,10,37,20.39745621,-102.7240444
"(14, 64)",0,9,0,0,0,0,JALISCO,OJUELOS DE JALISCO,14,64,V,V,14,JALISCO,64,OJUELOS DE JALISCO,0,0,0,0,0,9,21.81095761,-101.7151483
"(14, 65)",0,1,0,0,0,0,JALISCO,PIHUAMO,14,65,V,V,14,JALISCO,65,PIHUAMO,0,0,0,0,0,1,19.1466398,-103.3818525
"(14, 66)",0,7,1,0,0,0,JALISCO,PONCITLÁN,14,66,V,V,14,JALISCO,66,PONCITLÁN,0,0,0,0,1,7,20.27026701,-102.8947376
"(14, 67)",29,160,31,3,0,26,JALISCO,PUERTO VALLARTA,14,67,V,V,14,JALISCO,67,PUERTO VALLARTA,29,3,0,26,31,160,20.69798803,-105.1491067
"(14, 68)",0,6,0,0,0,0,JALISCO,VILLA PURIFICACIÓN,14,68,V,V,14,JALISCO,68,VILLA PURIFICACIÓN,0,0,0,0,0,6,19.80728133,-104.7228384
"(14, 69)",0,2,0,0,0,0,JALISCO,QUITUPAN,14,69,V,V,14,JALISCO,69,QUITUPAN,0,0,0,0,0,2,19.80461389,-102.8682315
"(14, 70)",0,49,3,0,0,0,JALISCO,EL SALTO,14,70,V,V,14,JALISCO,70,EL SALTO,0,0,0,0,3,49,20.53668402,-103.246808
"(14, 73)",2,15,2,0,0,2,JALISCO,SAN JUAN DE LOS LAGOS,14,73,V,V,14,JALISCO,73,SAN JUAN DE LOS LAGOS,2,0,0,2,2,15,21.26975755,-102.2943617
"(14, 74)",2,11,0,0,0,2,JALISCO,SAN JULIÁN,14,74,V,V,14,JALISCO,74,SAN JULIÁN,2,0,0,2,0,11,20.99770149,-102.1634752
"(14, 75)",0,0,6,0,0,0,JALISCO,SAN MARCOS,14,75,V,V,14,JALISCO,75,SAN MARCOS,0,0,0,0,6,0,20.82470787,-104.2320471
"(14, 76)",0,1,0,0,0,0,JALISCO,SAN MARTÍN DE BOLAÑOS,14,76,V,V,14,JALISCO,76,SAN MARTÍN DE BOLAÑOS,0,0,0,0,0,1,21.59598697,-103.7850354
"(14, 77)",1,9,0,0,0,1,JALISCO,SAN MARTÍN HIDALGO,14,77,V,V,14,JALISCO,77,SAN MARTÍN HIDALGO,1,0,0,1,0,9,20.44997396,-103.9051102
"(14, 78)",0,9,1,0,0,0,JALISCO,SAN MIGUEL EL ALTO,14,78,V,V,14,JALISCO,78,SAN MIGUEL EL ALTO,0,0,0,0,1,9,20.99266762,-102.379615
"(14, 79)",0,2,0,0,0,0,JALISCO,GÓMEZ FARÍAS,14,79,V,V,14,JALISCO,79,GÓMEZ FARÍAS,0,0,0,0,0,2,19.85647545,-103.4171738
"(14, 81)",0,1,0,0,0,0,JALISCO,SANTA MARÍA DE LOS ÁNGELES,14,81,V,V,14,JALISCO,81,SANTA MARÍA DE LOS ÁNGELES,0,0,0,0,0,1,22.19332482,-103.1812867
"(14, 82)",0,5,0,0,0,0,JALISCO,SAYULA,14,82,V,V,14,JALISCO,82,SAYULA,0,0,0,0,0,5,19.86177902,-103.5946428
"(14, 83)",0,21,1,0,0,0,JALISCO,TALA,14,83,V,V,14,JALISCO,83,TALA,0,0,0,0,1,21,20.61061616,-103.6924952
"(14, 84)",0,1,0,0,0,0,JALISCO,TALPA DE ALLENDE,14,84,V,V,14,JALISCO,84,TALPA DE ALLENDE,0,0,0,0,0,1,20.29958418,-104.953514
"(14, 85)",0,4,0,0,0,0,JALISCO,TAMAZULA DE GORDIANO,14,85,V,V,14,JALISCO,85,TAMAZULA DE GORDIANO,0,0,0,0,0,4,19.68759154,-103.1793087
"(14, 86)",0,2,0,0,0,0,JALISCO,TAPALPA,14,86,V,V,14,JALISCO,86,TAPALPA,0,0,0,0,0,2,19.94829117,-103.7654681
"(14, 87)",0,3,1,0,0,0,JALISCO,TECALITLÁN,14,87,V,V,14,JALISCO,87,TECALITLÁN,0,0,0,0,1,3,19.22552288,-103.1925712
"(14, 88)",2,7,1,1,0,1,JALISCO,TECOLOTLÁN,14,88,V,V,14,JALISCO,88,TECOLOTLÁN,2,1,0,1,1,7,20.25928864,-104.0242049
"(14, 89)",0,1,0,0,0,0,JALISCO,TECHALUTA DE MONTENEGRO,14,89,V,V,14,JALISCO,89,TECHALUTA DE MONTENEGRO,0,0,0,0,0,1,20.09243874,-103.5752611
"(14, 90)",0,1,0,0,0,0,JALISCO,TENAMAXTLÁN,14,90,V,V,14,JALISCO,90,TENAMAXTLÁN,0,0,0,0,0,1,20.14694917,-104.1655391
"(14, 91)",0,2,1,0,0,0,JALISCO,TEOCALTICHE,14,91,V,V,14,JALISCO,91,TEOCALTICHE,0,0,0,0,1,2,21.48046589,-102.5544776
"(14, 93)",0,114,4,0,0,0,JALISCO,TEPATITLÁN DE MORELOS,14,93,V,V,14,JALISCO,93,TEPATITLÁN DE MORELOS,0,0,0,0,4,114,20.81497043,-102.7208449
"(14, 94)",5,41,2,1,0,4,JALISCO,TEQUILA,14,94,V,V,14,JALISCO,94,TEQUILA,5,1,0,4,2,41,21.11269655,-103.7809295
"(14, 95)",0,1,0,0,0,0,JALISCO,TEUCHITLÁN,14,95,V,V,14,JALISCO,95,TEUCHITLÁN,0,0,0,0,0,1,20.67928176,-103.8323815
"(14, 96)",4,9,8,0,0,4,JALISCO,TIZAPÁN EL ALTO,14,96,V,V,14,JALISCO,96,TIZAPÁN EL ALTO,4,0,0,4,8,9,20.119633,-103.0710682
"(14, 97)",4,175,19,1,0,3,JALISCO,TLAJOMULCO DE ZÚÑIGA,14,97,V,V,14,JALISCO,97,TLAJOMULCO DE ZÚÑIGA,4,1,0,3,19,175,20.48421905,-103.4259569
"(14, 98)",4,171,23,0,0,4,JALISCO,SAN PEDRO TLAQUEPAQUE,14,98,V,V,14,JALISCO,98,SAN PEDRO TLAQUEPAQUE,4,0,0,4,23,171,20.59091448,-103.348905
"(14, 99)",0,1,1,0,0,0,JALISCO,TOLIMÁN,14,99,V,V,14,JALISCO,99,TOLIMÁN,0,0,0,0,1,1,19.55291573,-103.9305613
"(14, 100)",3,26,1,2,0,1,JALISCO,TOMATLÁN,14,100,V,V,14,JALISCO,100,TOMATLÁN,3,2,0,1,1,26,19.97967745,-105.1647531
"(14, 101)",11,184,14,1,0,10,JALISCO,TONALÁ,14,101,V,V,14,JALISCO,101,TONALÁ,11,1,0,10,14,184,20.61677917,-103.2139059
"(14, 102)",0,2,1,0,0,0,JALISCO,TONAYA,14,102,V,V,14,JALISCO,102,TONAYA,0,0,0,0,1,2,19.84793597,-103.9501711
"(14, 103)",0,1,0,0,0,0,JALISCO,TONILA,14,103,V,V,14,JALISCO,103,TONILA,0,0,0,0,0,1,19.43211667,-103.5350963
"(14, 104)",0,2,0,0,0,0,JALISCO,TOTATICHE,14,104,V,V,14,JALISCO,104,TOTATICHE,0,0,0,0,0,2,21.95897967,-103.4785624
"(14, 105)",0,2,0,0,0,0,JALISCO,TOTOTLÁN,14,105,V,V,14,JALISCO,105,TOTOTLÁN,0,0,0,0,0,2,20.5487491,-102.7487211
"(14, 106)",0,1,0,0,0,0,JALISCO,TUXCACUESCO,14,106,V,V,14,JALISCO,106,TUXCACUESCO,0,0,0,0,0,1,19.68124491,-104.0331574
"(14, 107)",0,2,0,0,0,0,JALISCO,TUXCUECA,14,107,V,V,14,JALISCO,107,TUXCUECA,0,0,0,0,0,2,20.14691534,-103.2420487
"(14, 108)",1,8,0,0,0,1,JALISCO,TUXPAN,14,108,V,V,14,JALISCO,108,TUXPAN,1,0,0,1,0,8,19.47912166,-103.4572728
"(14, 111)",0,1,0,0,0,0,JALISCO,VALLE DE GUADALUPE,14,111,V,V,14,JALISCO,111,VALLE DE GUADALUPE,0,0,0,0,0,1,21.04653472,-102.6509577
"(14, 113)",0,0,1,0,0,0,JALISCO,SAN GABRIEL,14,113,V,V,14,JALISCO,113,SAN GABRIEL,0,0,0,0,1,0,19.70994993,-103.7389216
"(14, 117)",0,3,0,0,0,0,JALISCO,CAÑADAS DE OBREGÓN,14,117,V,V,14,JALISCO,117,CAÑADAS DE OBREGÓN,0,0,0,0,0,3,21.15984203,-102.7012165
"(14, 118)",1,27,1,0,0,1,JALISCO,YAHUALICA DE GONZÁLEZ GALLO,14,118,V,V,14,JALISCO,118,YAHUALICA DE GONZÁLEZ GALLO,1,0,0,1,1,27,21.13797614,-102.9336735
"(14, 119)",0,3,0,0,0,0,JALISCO,ZACOALCO DE TORRES,14,119,V,V,14,JALISCO,119,ZACOALCO DE TORRES,0,0,0,0,0,3,20.23554834,-103.5680674
"(14, 120)",60,824,57,0,0,60,JALISCO,ZAPOPAN,14,120,V,V,14,JALISCO,120,ZAPOPAN,60,0,0,60,57,824,20.79499461,-103.4941841
"(14, 121)",0,2,0,0,0,0,JALISCO,ZAPOTILTIC,14,121,V,V,14,JALISCO,121,ZAPOTILTIC,0,0,0,0,0,2,19.62164543,-103.345801
"(14, 123)",0,1,0,0,0,0,JALISCO,ZAPOTLÁN DEL REY,14,123,V,V,14,JALISCO,123,ZAPOTLÁN DEL REY,0,0,0,0,0,1,20.46087584,-102.924971
"(14, 124)",0,21,0,0,0,0,JALISCO,ZAPOTLANEJO,14,124,V,V,14,JALISCO,124,ZAPOTLANEJO,0,0,0,0,0,21,20.63609801,-103.0488523
"(14, 125)",0,4,2,0,0,0,JALISCO,SAN IGNACIO CERRO GORDO,14,125,V,V,14,JALISCO,125,SAN IGNACIO CERRO GORDO,0,0,0,0,2,4,20.76462354,-102.5064018
"(15, 1)",1,9,1,0,0,1,MÉXICO,ACAMBAY DE RUÍZ CASTAÑEDA,15,1,V,V,15,MÉXICO,1,ACAMBAY DE RUÍZ CASTAÑEDA,1,0,0,1,1,9,19.97296672,-99.8715418
"(15, 2)",9,17,6,0,0,9,MÉXICO,ACOLMAN,15,2,V,V,15,MÉXICO,2,ACOLMAN,9,0,0,9,6,17,19.63378026,-98.91986552
"(15, 3)",0,3,1,0,0,0,MÉXICO,ACULCO,15,3,V,V,15,MÉXICO,3,ACULCO,0,0,0,0,1,3,20.11570666,-99.83335748
"(15, 4)",0,1,1,0,0,0,MÉXICO,ALMOLOYA DE ALQUISIRAS,15,4,V,V,15,MÉXICO,4,ALMOLOYA DE ALQUISIRAS,0,0,0,0,1,1,18.83298187,-99.86679901
"(15, 5)",4,21,5,1,0,3,MÉXICO,ALMOLOYA DE JUÁREZ,15,5,V,V,15,MÉXICO,5,ALMOLOYA DE JUÁREZ,4,1,0,3,5,21,19.40562639,-99.82945543
"(15, 6)",0,2,0,0,0,0,MÉXICO,ALMOLOYA DEL RÍO,15,6,V,V,15,MÉXICO,6,ALMOLOYA DEL RÍO,0,0,0,0,0,2,19.15878,-99.49187309
"(15, 7)",1,3,0,1,0,0,MÉXICO,AMANALCO,15,7,V,V,15,MÉXICO,7,AMANALCO,1,1,0,0,0,3,19.25094288,-99.98839314
"(15, 8)",1,2,0,0,0,1,MÉXICO,AMATEPEC,15,8,V,V,15,MÉXICO,8,AMATEPEC,1,0,0,1,0,2,18.70301269,-100.266802
"(15, 9)",5,7,1,0,0,5,MÉXICO,AMECAMECA,15,9,V,V,15,MÉXICO,9,AMECAMECA,5,0,0,5,1,7,19.12495773,-98.71648998
"(15, 10)",1,3,0,0,0,1,MÉXICO,APAXCO,15,10,V,V,15,MÉXICO,10,APAXCO,1,0,0,1,0,3,19.9845142,-99.14789661
"(15, 11)",2,6,1,0,0,2,MÉXICO,ATENCO,15,11,V,V,15,MÉXICO,11,ATENCO,2,0,0,2,1,6,19.54565382,-98.96156935
"(15, 12)",17,53,7,1,0,16,MÉXICO,ATIZAPÁN,15,12,V,V,15,MÉXICO,12,ATIZAPÁN,17,1,0,16,7,53,19.17554586,-99.49997514
"(15, 13)",65,96,35,7,0,58,MÉXICO,ATIZAPÁN DE ZARAGOZA,15,13,V,V,15,MÉXICO,13,ATIZAPÁN DE ZARAGOZA,65,7,0,58,35,96,19.56481159,-99.27404279
"(15, 14)",3,17,3,2,0,1,MÉXICO,ATLACOMULCO,15,14,V,V,15,MÉXICO,14,ATLACOMULCO,3,2,0,1,3,17,19.809972,-99.8460182
"(15, 15)",1,2,2,0,0,1,MÉXICO,ATLAUTLA,15,15,V,V,15,MÉXICO,15,ATLAUTLA,1,0,0,1,2,2,19.0311172,-98.71706028
"(15, 16)",0,3,1,0,0,0,MÉXICO,AXAPUSCO,15,16,V,V,15,MÉXICO,16,AXAPUSCO,0,0,0,0,1,3,19.76308078,-98.72130678
"(15, 17)",0,1,0,0,0,0,MÉXICO,AYAPANGO,15,17,V,V,15,MÉXICO,17,AYAPANGO,0,0,0,0,0,1,19.12429549,-98.81635545
"(15, 18)",3,20,3,0,0,3,MÉXICO,CALIMAYA,15,18,V,V,15,MÉXICO,18,CALIMAYA,3,0,0,3,3,20,19.16553618,-99.64327165
"(15, 19)",1,2,5,0,0,1,MÉXICO,CAPULHUAC,15,19,V,V,15,MÉXICO,19,CAPULHUAC,1,0,0,1,5,2,19.20870355,-99.45973816
"(15, 20)",36,52,15,3,0,33,MÉXICO,COACALCO DE BERRIOZÁBAL,15,20,V,V,15,MÉXICO,20,COACALCO DE BERRIOZÁBAL,36,3,0,33,15,52,19.6262935,-99.10239495
"(15, 21)",1,9,0,0,0,1,MÉXICO,COATEPEC HARINAS,15,21,V,V,15,MÉXICO,21,COATEPEC HARINAS,1,0,0,1,0,9,18.94636301,-99.79826113
"(15, 22)",1,3,1,0,0,1,MÉXICO,COCOTITLÁN,15,22,V,V,15,MÉXICO,22,COCOTITLÁN,1,0,0,1,1,3,19.22603049,-98.85889522
"(15, 23)",2,4,3,1,0,1,MÉXICO,COYOTEPEC,15,23,V,V,15,MÉXICO,23,COYOTEPEC,2,1,0,1,3,4,19.78998655,-99.22220578
"(15, 24)",39,50,32,1,0,38,MÉXICO,CUAUTITLÁN,15,24,V,V,15,MÉXICO,24,CUAUTITLÁN,39,1,0,38,32,50,19.70824807,-99.15942263
"(15, 25)",48,111,65,3,0,45,MÉXICO,CHALCO,15,25,V,V,15,MÉXICO,25,CHALCO,48,3,0,45,65,111,19.25361272,-98.83168458
"(15, 26)",0,2,0,0,0,0,MÉXICO,CHAPA DE MOTA,15,26,V,V,15,MÉXICO,26,CHAPA DE MOTA,0,0,0,0,0,2,19.82577108,-99.55094103
"(15, 28)",1,4,0,0,0,1,MÉXICO,CHIAUTLA,15,28,V,V,15,MÉXICO,28,CHIAUTLA,1,0,0,1,0,4,19.57303922,-98.8833852
"(15, 29)",15,33,15,0,0,15,MÉXICO,CHICOLOAPAN,15,29,V,V,15,MÉXICO,29,CHICOLOAPAN,15,0,0,15,15,33,19.40541919,-98.87810749
"(15, 30)",1,1,1,0,0,1,MÉXICO,CHICONCUAC,15,30,V,V,15,MÉXICO,30,CHICONCUAC,1,0,0,1,1,1,19.55627976,-98.896696
"(15, 31)",78,75,84,8,0,70,MÉXICO,CHIMALHUACÁN,15,31,V,V,15,MÉXICO,31,CHIMALHUACÁN,78,8,0,70,84,75,19.41624048,-98.94716816
"(15, 32)",0,3,0,0,0,0,MÉXICO,DONATO GUERRA,15,32,V,V,15,MÉXICO,32,DONATO GUERRA,0,0,0,0,0,3,19.31645365,-100.1848532
"(15, 33)",185,397,110,12,0,173,MÉXICO,ECATEPEC DE MORELOS,15,33,V,V,15,MÉXICO,33,ECATEPEC DE MORELOS,185,12,0,173,110,397,19.5727999,-99.04321026
"(15, 35)",7,20,2,0,0,7,MÉXICO,HUEHUETOCA,15,35,V,V,15,MÉXICO,35,HUEHUETOCA,7,0,0,7,2,20,19.82263964,-99.25502333
"(15, 36)",0,3,0,0,0,0,MÉXICO,HUEYPOXTLA,15,36,V,V,15,MÉXICO,36,HUEYPOXTLA,0,0,0,0,0,3,19.95243712,-99.02800475
"(15, 37)",68,171,16,3,0,65,MÉXICO,HUIXQUILUCAN,15,37,V,V,15,MÉXICO,37,HUIXQUILUCAN,68,3,0,65,16,171,19.38311053,-99.33952387
"(15, 38)",1,0,0,0,0,1,MÉXICO,ISIDRO FABELA,15,38,V,V,15,MÉXICO,38,ISIDRO FABELA,1,0,0,1,0,0,19.5542457,-99.44037337
"(15, 39)",50,78,32,5,0,45,MÉXICO,IXTAPALUCA,15,39,V,V,15,MÉXICO,39,IXTAPALUCA,50,5,0,45,32,78,19.34280773,-98.7790459
