,confirmado,negativo,sospechoso,muerto,recuperado,activo,estado,municipio,id_estado,id_municipio,entidad_qa,municipio_qa,id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
"(4, 10)",0,2,3,0,0,0,CAMPECHE,CALAKMUL,4,10,V,V,4,CAMPECHE,10,CALAKMUL,0,0,0,0,3,2,18.40390975,-89.66154012
"(4, 11)",4,4,2,1,0,3,CAMPECHE,CANDELARIA,4,11,V,V,4,CAMPECHE,11,CANDELARIA,4,1,0,3,2,4,18.09926283,-90.71658452
"(5, 1)",0,2,0,0,0,0,COAHUILA DE ZARAGOZA,ABASOLO,5,1,V,V,5,COAHUILA DE ZARAGOZA,1,ABASOLO,0,0,0,0,0,2,27.12243961,-101.2458133
"(5, 2)",3,126,1,0,0,3,COAHUILA DE ZARAGOZA,ACUÑA,5,2,V,V,5,COAHUILA DE ZARAGOZA,2,ACUÑA,3,0,0,3,1,126,29.43318679,-102.0099902
"(5, 3)",1,19,0,0,0,1,COAHUILA DE ZARAGOZA,ALLENDE,5,3,V,V,5,COAHUILA DE ZARAGOZA,3,ALLENDE,1,0,0,1,0,19,28.27838851,-100.9159824
"(5, 4)",2,6,1,0,0,2,COAHUILA DE ZARAGOZA,ARTEAGA,5,4,V,V,5,COAHUILA DE ZARAGOZA,4,ARTEAGA,2,0,0,2,1,6,25.34145295,-100.6424031
"(5, 5)",0,1,0,0,0,0,COAHUILA DE ZARAGOZA,CANDELA,5,5,V,V,5,COAHUILA DE ZARAGOZA,5,CANDELA,0,0,0,0,0,1,26.85268532,-100.7992039
"(5, 6)",7,19,5,1,0,6,COAHUILA DE ZARAGOZA,CASTAÑOS,5,6,V,V,5,COAHUILA DE ZARAGOZA,6,CASTAÑOS,7,1,0,6,5,19,26.58655366,-101.3870278
"(5, 7)",2,34,1,0,0,2,COAHUILA DE ZARAGOZA,CUATRO CIÉNEGAS,5,7,V,V,5,COAHUILA DE ZARAGOZA,7,CUATRO CIÉNEGAS,2,0,0,2,1,34,26.69999807,-102.2992207
"(5, 8)",1,2,2,0,0,1,COAHUILA DE ZARAGOZA,ESCOBEDO,5,8,V,V,5,COAHUILA DE ZARAGOZA,8,ESCOBEDO,1,0,0,1,2,2,27.30620803,-101.2796839
"(5, 9)",1,16,3,0,0,1,COAHUILA DE ZARAGOZA,FRANCISCO I. MADERO,5,9,V,V,5,COAHUILA DE ZARAGOZA,9,FRANCISCO I. MADERO,1,0,0,1,3,16,26.32096486,-103.1807998
"(5, 10)",22,97,4,1,0,21,COAHUILA DE ZARAGOZA,FRONTERA,5,10,V,V,5,COAHUILA DE ZARAGOZA,10,FRONTERA,22,1,0,21,4,97,26.9477526,-101.528246
"(5, 11)",0,0,4,0,0,0,COAHUILA DE ZARAGOZA,GENERAL CEPEDA,5,11,V,V,5,COAHUILA DE ZARAGOZA,11,GENERAL CEPEDA,0,0,0,0,4,0,25.52201881,-101.5510992
"(5, 14)",1,3,0,1,0,0,COAHUILA DE ZARAGOZA,JIMÉNEZ,5,14,V,V,5,COAHUILA DE ZARAGOZA,14,JIMÉNEZ,1,1,0,0,0,3,29.00293154,-100.9512787
