id_estado,estado,id_municipio,municipio,confirmado,muerto,recuperado,activo,sospechoso,negativo,latitud,longitud
1,AGUASCALIENTES,1,AGUASCALIENTES,86.0,2.0,0,84.0,94.0,713.0,21.811535600000003,-102.2957713
1,AGUASCALIENTES,2,ASIENTOS,1.0,0.0,0,1.0,2.0,7.0,22.12657642,-102.0456604
1,AGUASCALIENTES,3,CALVILLO,0.0,0.0,0,0.0,1.0,28.0,21.90078846,-102.7049005
1,AGUASCALIENTES,4,COSÍO,0.0,0.0,0,0.0,0.0,7.0,22.36064174,-102.2970435
1,AGUASCALIENTES,5,JESÚS MARÍA,3.0,0.0,0,3.0,6.0,58.0,21.93215516,-102.44562579999999
1,AGUASCALIENTES,6,PABELLÓN DE ARTEAGA,5.0,0.0,0,5.0,3.0,23.0,22.10455438,-102.3016703
1,AGUASCALIENTES,7,RINCÓN DE ROMOS,3.0,0.0,0,3.0,5.0,26.0,22.26744552,-102.3407297
1,AGUASCALIENTES,8,SAN JOSÉ DE GRACIA,0.0,0.0,0,0.0,2.0,4.0,22.14670973,-102.5258434
1,AGUASCALIENTES,9,TEPEZALÁ,1.0,0.0,0,1.0,0.0,9.0,22.2370008,-102.1921297
1,AGUASCALIENTES,10,EL LLANO,1.0,0.0,0,1.0,0.0,5.0,21.92155597,-102.0353867
1,AGUASCALIENTES,11,SAN FRANCISCO DE LOS ROMO,0.0,0.0,0,0.0,2.0,20.0,22.03308468,-102.2290181
2,BAJA CALIFORNIA,1,ENSENADA,20.0,4.0,0,16.0,22.0,160.0,30.05792961,-114.9692882
2,BAJA CALIFORNIA,2,MEXICALI,360.0,30.0,0,330.0,147.0,397.0,31.74891833,-115.16758359999999
2,BAJA CALIFORNIA,3,TECATE,22.0,2.0,0,20.0,23.0,37.0,32.44105338,-116.2689487
2,BAJA CALIFORNIA,4,TIJUANA,569.0,77.0,0,492.0,183.0,501.0,32.4042082,-116.81990970000001
2,BAJA CALIFORNIA,5,PLAYAS DE ROSARITO,11.0,4.0,0,7.0,3.0,26.0,32.25304223,-116.8908048
3,BAJA CALIFORNIA SUR,1,COMONDÚ,2.0,0.0,0,2.0,3.0,28.0,25.49568587,-111.82100790000001
3,BAJA CALIFORNIA SUR,2,MULEGÉ,2.0,0.0,0,2.0,2.0,27.0,27.28821511,-113.23220690000001
3,BAJA CALIFORNIA SUR,3,LA PAZ,76.0,6.0,0,70.0,26.0,302.0,24.19271155,-110.66456770000002
3,BAJA CALIFORNIA SUR,8,LOS CABOS,159.0,4.0,0,155.0,27.0,340.0,23.27702756,-109.7531808
3,BAJA CALIFORNIA SUR,9,LORETO,0.0,0.0,0,0.0,0.0,12.0,25.95456403,-111.44885570000001
4,CAMPECHE,1,CALKINÍ,2.0,0.0,0,2.0,0.0,3.0,20.38455655,-90.21811966
4,CAMPECHE,2,CAMPECHE,13.0,0.0,0,13.0,1.0,72.0,19.61728246,-90.26773595
4,CAMPECHE,3,CARMEN,30.0,3.0,0,27.0,12.0,77.0,18.52450679,-91.48310859
4,CAMPECHE,4,CHAMPOTÓN,0.0,0.0,0,0.0,0.0,3.0,19.13464794,-90.4992747
4,CAMPECHE,5,HECELCHAKÁN,0.0,0.0,0,0.0,0.0,1.0,20.12449936,-90.13546323
4,CAMPECHE,6,HOPELCHÉN,0.0,0.0,0,0.0,0.0,1.0,19.47490847,-89.6098605
4,CAMPECHE,7,PALIZADA,0.0,0.0,0,0.0,0.0,1.0,18.27381949,-91.9739213
4,CAMPECHE,9,ESCÁRCEGA,0.0,0.0,0,0.0,1.0,8.0,18.55090678,-90.47431083
4,CAMPECHE,10,CALAKMUL,0.0,0.0,0,0.0,3.0,2.0,18.40390975,-89.66154012
4,CAMPECHE,11,CANDELARIA,4.0,1.0,0,3.0,2.0,4.0,18.09926283,-90.71658452
5,COAHUILA DE ZARAGOZA,1,ABASOLO,0.0,0.0,0,0.0,0.0,2.0,27.12243961,-101.2458133
5,COAHUILA DE ZARAGOZA,2,ACUÑA,3.0,0.0,0,3.0,1.0,126.0,29.43318679,-102.0099902
5,COAHUILA DE ZARAGOZA,3,ALLENDE,1.0,0.0,0,1.0,0.0,19.0,28.27838851,-100.9159824
5,COAHUILA DE ZARAGOZA,4,ARTEAGA,2.0,0.0,0,2.0,1.0,6.0,25.34145295,-100.6424031
5,COAHUILA DE ZARAGOZA,5,CANDELA,0.0,0.0,0,0.0,0.0,1.0,26.85268532,-100.79920390000001
5,COAHUILA DE ZARAGOZA,6,CASTAÑOS,7.0,1.0,0,6.0,5.0,19.0,26.58655366,-101.3870278
5,COAHUILA DE ZARAGOZA,7,CUATRO CIÉNEGAS,2.0,0.0,0,2.0,1.0,34.0,26.69999807,-102.2992207
5,COAHUILA DE ZARAGOZA,8,ESCOBEDO,1.0,0.0,0,1.0,2.0,2.0,27.30620803,-101.27968390000001
5,COAHUILA DE ZARAGOZA,9,FRANCISCO I. MADERO,1.0,0.0,0,1.0,3.0,16.0,26.32096486,-103.1807998
5,COAHUILA DE ZARAGOZA,10,FRONTERA,22.0,1.0,0,21.0,4.0,97.0,26.9477526,-101.528246
5,COAHUILA DE ZARAGOZA,11,GENERAL CEPEDA,0.0,0.0,0,0.0,4.0,0.0,25.52201881,-101.55109920000001
5,COAHUILA DE ZARAGOZA,14,JIMÉNEZ,1.0,1.0,0,0.0,0.0,3.0,29.00293154,-100.9512787
5,COAHUILA DE ZARAGOZA,16,LAMADRID,0.0,0.0,0,0.0,0.0,4.0,27.15060824,-101.9137353
5,COAHUILA DE ZARAGOZA,17,MATAMOROS,11.0,1.0,0,10.0,6.0,73.0,25.55993538,-103.21507
5,COAHUILA DE ZARAGOZA,18,MONCLOVA,147.0,19.0,0,128.0,39.0,483.0,26.89692872,-101.194412
5,COAHUILA DE ZARAGOZA,19,MORELOS,1.0,0.0,0,1.0,0.0,4.0,28.3277876,-101.0833085
5,COAHUILA DE ZARAGOZA,20,MÚZQUIZ,1.0,1.0,0,0.0,2.0,28.0,28.40482428,-101.90128399999999
5,COAHUILA DE ZARAGOZA,21,NADADORES,1.0,0.0,0,1.0,0.0,7.0,27.22803262,-101.76555340000002
5,COAHUILA DE ZARAGOZA,22,NAVA,0.0,0.0,0,0.0,1.0,8.0,28.49651834,-100.6204703
5,COAHUILA DE ZARAGOZA,23,OCAMPO,0.0,0.0,0,0.0,1.0,1.0,27.97035913,-102.8932024
5,COAHUILA DE ZARAGOZA,24,PARRAS,0.0,0.0,0,0.0,0.0,4.0,25.5052347,-102.1148594
5,COAHUILA DE ZARAGOZA,25,PIEDRAS NEGRAS,16.0,0.0,0,16.0,22.0,199.0,28.77991609,-100.61450570000001
5,COAHUILA DE ZARAGOZA,27,RAMOS ARIZPE,5.0,0.0,0,5.0,4.0,31.0,25.91436164,-101.2823599
5,COAHUILA DE ZARAGOZA,28,SABINAS,1.0,0.0,0,1.0,3.0,52.0,27.92330081,-101.14303129999999
5,COAHUILA DE ZARAGOZA,29,SACRAMENTO,2.0,1.0,0,1.0,2.0,12.0,26.93986293,-101.75649820000001
5,COAHUILA DE ZARAGOZA,30,SALTILLO,27.0,1.0,0,26.0,70.0,439.0,25.02983185,-101.12515479999999
5,COAHUILA DE ZARAGOZA,31,SAN BUENAVENTURA,2.0,1.0,0,1.0,1.0,18.0,27.84237258,-101.9697965
5,COAHUILA DE ZARAGOZA,32,SAN JUAN DE SABINAS,3.0,0.0,0,3.0,1.0,35.0,28.0640757,-101.3898142
